"pattern","case","rxtype"
"%-EPA %","include","lipidlow_nonstatins"
"%ADVICOR%' /*both*/","include","lipidlow_nonstatins"
"%ALIROCUMAB%","include","lipidlow_nonstatins"
"%ATROMID%","include","lipidlow_nonstatins"
"%BEMPEDOIC%","include","lipidlow_nonstatins"
"%BENECOL%","include","lipidlow_nonstatins"
"%BEZAFIBRATE%","include","lipidlow_nonstatins"
"%BEZALIP%","include","lipidlow_nonstatins"
"%CELADRIN%","include","lipidlow_nonstatins"
"%CHIA SEED%","include","lipidlow_nonstatins"
"%CHLOESTYRAMINE%","include","lipidlow_nonstatins"
"%CHOLEST-OFF%","include","lipidlow_nonstatins"
"%CHOLESTRYAMINE%","include","lipidlow_nonstatins"
"%CHOLESTYRAMINE%","include","lipidlow_nonstatins"
"%CHOLYBAR%","include","lipidlow_nonstatins"
"%CLOFIBRATE%","include","lipidlow_nonstatins"
"%COLESEV[EA]LAM%","include","lipidlow_nonstatins"
"%COLESTID%","include","lipidlow_nonstatins"
"%COLESTIPOL%","include","lipidlow_nonstatins"
"%COLESTITPOL%","include","lipidlow_nonstatins"
"%COLOESTIPOL%","include","lipidlow_nonstatins"
"%DALCETRAPIB%","include","lipidlow_nonstatins"
"%DOCOSAHEXAENOIC%","include","lipidlow_nonstatins"
"%EICOSAPENTAENOIC%","include","lipidlow_nonstatins"
"%EVAC[EI]TRAPIB%","include","lipidlow_nonstatins"
"%EVOL[OU]CUMAB%","include","lipidlow_nonstatins"
"%EVOLCUMAB%","include","lipidlow_nonstatins"
"%EZETIM%","include","lipidlow_nonstatins"
"%FATTY ACID%","include","lipidlow_nonstatins"
"%FE[NB]OFIB%","include","lipidlow_nonstatins"
"%FENOBIRATE%","include","lipidlow_nonstatins"
"%FISH OIL%","include","lipidlow_nonstatins"
"%FLAX%","include","lipidlow_nonstatins"
"%GEMFIBR[OP][ZS]IL%","include","lipidlow_nonstatins"
"%ICOSAPENT%","include","lipidlow_nonstatins"
"%KRILL OIL%","include","lipidlow_nonstatins"
"%LINOLENIC%","include","lipidlow_nonstatins"
"%LIPID OIL%","include","lipidlow_nonstatins"
"%LOCUMAB%","include","lipidlow_nonstatins"
"%LOMITAPIDE%","include","lipidlow_nonstatins"
"%LOPID%","include","lipidlow_nonstatins"
"%LORELCO%","include","lipidlow_nonstatins"
"%LOVAZA%","include","lipidlow_nonstatins"
"%MARINE LIPID%","include","lipidlow_nonstatins"
"%MIPOMERS[EA]N%","include","lipidlow_nonstatins"
"%NIACIN%","include","lipidlow_nonstatins"
"%NIASPAN%","include","lipidlow_nonstatins"
"%NICOBID%","include","lipidlow_nonstatins"
"%NICOMIDE%","include","lipidlow_nonstatins"
"%NICOTINAMIDE%","include","lipidlow_nonstatins"
"%NICOTINIC%","include","lipidlow_nonstatins"
"%NINACIN%","include","lipidlow_nonstatins"
"%OM[OA]COR%","include","lipidlow_nonstatins"
"%OMEGA 7%","include","lipidlow_nonstatins"
"%OMEGA D3%","include","lipidlow_nonstatins"
"%OMEGA Q%","include","lipidlow_nonstatins"
"%OMEGA XL%","include","lipidlow_nonstatins"
"%OMEGA XTRA%","include","lipidlow_nonstatins"
"%OMEGA-E%","include","lipidlow_nonstatins"
"%OMEGA-ZYME%","include","lipidlow_nonstatins"
"%OMEGA[- ]3%","include","lipidlow_nonstatins"
"%OMEGA3%","include","lipidlow_nonstatins"
"%OMEGO-3%","include","lipidlow_nonstatins"
"%PRALUENT%","include","lipidlow_nonstatins"
"%PREVALITE%","include","lipidlow_nonstatins"
"%PRO OMEGA%","include","lipidlow_nonstatins"
"%PROBUCOL%","include","lipidlow_nonstatins"
"%PROMEGA%","include","lipidlow_nonstatins"
"%QUESTRAN%","include","lipidlow_nonstatins"
"%SALMON OIL%","include","lipidlow_nonstatins"
"%SHARK LIVER OIL%","include","lipidlow_nonstatins"
"%SIMCOR%' /*both!*/","include","lipidlow_nonstatins"
"%SUPER OMEGA%","include","lipidlow_nonstatins"
"%TRICOR%","include","lipidlow_nonstatins"
"%TRIGLIDE%","include","lipidlow_nonstatins"
"%UDOS OIL%","include","lipidlow_nonstatins"
"%VASCEPA%","include","lipidlow_nonstatins"
"%VYTORIN%","include","lipidlow_nonstatins"
"%WELCHOL%","include","lipidlow_nonstatins"
"%ZETIA%","include","lipidlow_nonstatins"
"E[FP]A[/, ]%","include","lipidlow_nonstatins"
"%CLOPID%","exclude","lipidlow_nonstatins"
"NOT","exclude","lipidlow_nonstatins"
"%/SIMV[ A]%","include","lipidlow_statins"
"%ADVICOR%","include","lipidlow_statins"
"%ATORV%","include","lipidlow_statins"
"%CADUET%","include","lipidlow_statins"
"%CERIVASTATIN%","include","lipidlow_statins"
"%CERVISTATIN%","include","lipidlow_statins"
"%CHLOXIN%","include","lipidlow_statins"
"%CHOLOXIN%","include","lipidlow_statins"
"%CRESTOR%","include","lipidlow_statins"
"%DEXTROTHYROXINE%","include","lipidlow_statins"
"%FLUNASTATIN%","include","lipidlow_statins"
"%FLUVASTATIN%","include","lipidlow_statins"
"%LESCOL%","include","lipidlow_statins"
"%LIPITOR%","include","lipidlow_statins"
"%LIVALO%","include","lipidlow_statins"
"%LOVASTATIN%","include","lipidlow_statins"
"%MEVACOR%","include","lipidlow_statins"
"%PITAVAST%","include","lipidlow_statins"
"%PRAVACHOL%","include","lipidlow_statins"
"%PRAVASTATIN%","include","lipidlow_statins"
"%PRAVSTATIN%","include","lipidlow_statins"
"%ROSUVA%","include","lipidlow_statins"
"%SIMCOR%","include","lipidlow_statins"
"%SIMVASTATIN%","include","lipidlow_statins"
"%SIMVASTSTIN%","include","lipidlow_statins"
"%VYTORIN%","include","lipidlow_statins"
"%ZOCOR%","include","lipidlow_statins"
"%BUMETA[NM]IDE%","include","loop_diuretics"
"%BUMETADINE%","include","loop_diuretics"
"%BUMEX%","include","loop_diuretics"
"%BURINEX%","include","loop_diuretics"
"%DEMADEX%","include","loop_diuretics"
"%EDECRIN%","include","loop_diuretics"
"%ETHACR[YI]NIC%","include","loop_diuretics"
"%ETHACRYNATE%","include","loop_diuretics"
"%ETHANCRYNATE%","include","loop_diuretics"
"%FRUMIL%","include","loop_diuretics"
"%FUROSEM%","include","loop_diuretics"
"%LASIX%","include","loop_diuretics"
"%TORSEMIDE%","include","loop_diuretics"
"%avandamet%","include","met"
"%fortamet%","include","met"
"%glucophage%","include","met"
"%glucovance%","include","met"
"%glumetz%","include","met"
"%janumet%","include","met"
"%kombiglyze%","include","met"
"%meformin%","include","met"
"%met[ )+]%","include","met"
"%metaglip%","include","met"
"%metf%","include","met"
"%metformin%","include","met"
"%metofrmin%","include","met"
"%[a-y]met%","exclude","met"
"%blister%","exclude","met"
"%cromolyn%","exclude","met"
"NOT","exclude","met"
"%[- ]NITRO %","include","nitrates"
"%BIDIL%","include","nitrates"
"%DEPONIT%","include","nitrates"
"%DILATRATE%","include","nitrates"
"%DUOTRATE%","include","nitrates"
"%DUTRATE%","include","nitrates"
"%ERYTHRITYL T%","include","nitrates"
"%IMDUR%","include","nitrates"
"%ISMO %","include","nitrates"
"%ISOBID%","include","nitrates"
"%ISORDIL%","include","nitrates"
"%ISOSOEBIDE%","include","nitrates"
"%ISOSORB%","include","nitrates"
"%ISOSORIBDE%","include","nitrates"
"%ISOSRDIL%","include","nitrates"
"%MINITRAN%","include","nitrates"
"%NITR[AI]TE%","include","nitrates"
"%NITREK%","include","nitrates"
"%NITRO PATCH%","include","nitrates"
"%NITRO-BID%","include","nitrates"
"%NITRO-DISC%","include","nitrates"
"%NITRO[- ]DUR%","include","nitrates"
"%NITROBID%","include","nitrates"
"%NITROCLYC%","include","nitrates"
"%NITRODISC%","include","nitrates"
"%NITRODUR%","include","nitrates"
"%NITROGARD%","include","nitrates"
"%NITROGGLYCERIN%","include","nitrates"
"%NITROGLY PATCH%","include","nitrates"
"%NITROGLY.%","include","nitrates"
"%NITROGLYC%","include","nitrates"
"%NITROGLYERIN%","include","nitrates"
"%NITROGLYG%","include","nitrates"
"%NITROGLYN%","include","nitrates"
"%NITROGYLCERIN%","include","nitrates"
"%NITROL%","include","nitrates"
"%NITROPASTE%","include","nitrates"
"%NITROSPAN%","include","nitrates"
"%NITROSTAT%","include","nitrates"
"%NITTROGARD%","include","nitrates"
"%NTG %","include","nitrates"
"%PENTAERYTHRITOL T%","include","nitrates"
"%PENTRITOL%","include","nitrates"
"%PERITRATE%","include","nitrates"
"%RANOLAZINE%","include","nitrates"
"%SORBIDE%","include","nitrates"
"%SORBITRATE%","include","nitrates"
"NITRO %","include","nitrates"
"RECTIV%","include","nitrates"
"%ALARIS%","exclude","nitrates"
"%BARRIER%","exclude","nitrates"
"%CONAZOLE%","exclude","nitrates"
"%FUNGAL%","exclude","nitrates"
"%PILOCARPINE%","exclude","nitrates"
"%SILVER%","exclude","nitrates"
"NOT","exclude","nitrates"
"%ARISTO-PAK%","include","oral_glucocorticoids"
"%ARISTOCORT%TAB%","include","oral_glucocorticoids"
"%BETAMETH%","include","oral_glucocorticoids"
"%BETAPAR%","include","oral_glucocorticoids"
"%BUDESONID%","include","oral_glucocorticoids"
"%CELESTONE%","include","oral_glucocorticoids"
"%CORTEF%","include","oral_glucocorticoids"
"%CORTISOL%","include","oral_glucocorticoids"
"%CORTISONE%","include","oral_glucocorticoids"
"%CORTISPORIN%","include","oral_glucocorticoids"
"%DECADRON%","include","oral_glucocorticoids"
"%DECILONE%","include","oral_glucocorticoids"
"%DEFLAZACORT%","include","oral_glucocorticoids"
"%DELTASONE%","include","oral_glucocorticoids"
"%DEPO-MEDROL%","include","oral_glucocorticoids"
"%DEPO-METHYLPRED%","include","oral_glucocorticoids"
"%DEXAMETH%","include","oral_glucocorticoids"
"%DEXMETHASONE%","include","oral_glucocorticoids"
"%DEXTAMETHASONE%","include","oral_glucocorticoids"
"%GENT%PREDNIS%","include","oral_glucocorticoids"
"%HYDROCORTONE%","include","oral_glucocorticoids"
"%KENACORT%","include","oral_glucocorticoids"
"%MAXIDEX%","include","oral_glucocorticoids"
"%MAXITROL%","include","oral_glucocorticoids"
"%MEDROL %","include","oral_glucocorticoids"
"%MEDROL(%","include","oral_glucocorticoids"
"%METHYLPRED%","include","oral_glucocorticoids"
"%METICORTEN%","include","oral_glucocorticoids"
"%METICORTIN%","include","oral_glucocorticoids"
"%PARAMETHASONE%","include","oral_glucocorticoids"
"%PRED*NISOLONE%","include","oral_glucocorticoids"
"%PREDNI*SOLONE%","include","oral_glucocorticoids"
"%PREDNIS%","include","oral_glucocorticoids"
"%PRENISOLONE%","include","oral_glucocorticoids"
"%PRESNIS%","include","oral_glucocorticoids"
"%SOLU-MEDROL%","include","oral_glucocorticoids"
"%TRIAMCIN%","include","oral_glucocorticoids"
"%UCERIS%","include","oral_glucocorticoids"
"% CR %","exclude","oral_glucocorticoids"
"% CR.%","exclude","oral_glucocorticoids"
"% CRM","exclude","oral_glucocorticoids"
"% DENT%","exclude","oral_glucocorticoids"
"% EAR %","exclude","oral_glucocorticoids"
"% EYE %","exclude","oral_glucocorticoids"
"% GEL%","exclude","oral_glucocorticoids"
"% INH%","exclude","oral_glucocorticoids"
"% INJ%","exclude","oral_glucocorticoids"
"% LOT %","exclude","oral_glucocorticoids"
"% LOT.%","exclude","oral_glucocorticoids"
"% NSL%","exclude","oral_glucocorticoids"
"% OP S%","exclude","oral_glucocorticoids"
"% OP.SOL%","exclude","oral_glucocorticoids"
"% OPH S%","exclude","oral_glucocorticoids"
"% OPHT%","exclude","oral_glucocorticoids"
"% OPTH%","exclude","oral_glucocorticoids"
"% OT %","exclude","oral_glucocorticoids"
"% OTIC%","exclude","oral_glucocorticoids"
"% SPR %","exclude","oral_glucocorticoids"
"% TEST%","exclude","oral_glucocorticoids"
"% TOP","exclude","oral_glucocorticoids"
"%,INH%","exclude","oral_glucocorticoids"
"%,OPH%","exclude","oral_glucocorticoids"
"%,OTIC%","exclude","oral_glucocorticoids"
"%[%]%","exclude","oral_glucocorticoids"
"%/INH%","exclude","oral_glucocorticoids"
"%AEROSOL%","exclude","oral_glucocorticoids"
"%ALLERGY%","exclude","oral_glucocorticoids"
"%AQUAPHOR%","exclude","oral_glucocorticoids"
"%BUDESONIDE%FORMOT%","exclude","oral_glucocorticoids"
"%CREAM%","exclude","oral_glucocorticoids"
"%DROPS%","exclude","oral_glucocorticoids"
"%EMEMA%","exclude","oral_glucocorticoids"
"%ENEMA%","exclude","oral_glucocorticoids"
"%ENPAK%","exclude","oral_glucocorticoids"
"%FOAM%","exclude","oral_glucocorticoids"
"%GARGLE%","exclude","oral_glucocorticoids"
"%IMPLANT%","exclude","oral_glucocorticoids"
"%INHAL%","exclude","oral_glucocorticoids"
"%IRRIG SOLN%","exclude","oral_glucocorticoids"
"%LOTION%","exclude","oral_glucocorticoids"
"%NASAL%","exclude","oral_glucocorticoids"
"%NASL%","exclude","oral_glucocorticoids"
"%OINT%","exclude","oral_glucocorticoids"
"%ORABASE%","exclude","oral_glucocorticoids"
"%PASTE%","exclude","oral_glucocorticoids"
"%POWD%","exclude","oral_glucocorticoids"
"%PWD%","exclude","oral_glucocorticoids"
"%RECTAL%","exclude","oral_glucocorticoids"
"%RESP%","exclude","oral_glucocorticoids"
"%RTL%","exclude","oral_glucocorticoids"
"%SPRAY%","exclude","oral_glucocorticoids"
"%SPRY%","exclude","oral_glucocorticoids"
"%SUPP%","exclude","oral_glucocorticoids"
"%SWISH%","exclude","oral_glucocorticoids"
"%TOPICAL%","exclude","oral_glucocorticoids"
"%TURB%","exclude","oral_glucocorticoids"
"%WASH%","exclude","oral_glucocorticoids"
"NOT","exclude","oral_glucocorticoids"
"%AMOMORPHINE%","include","parkinson"
"%APOKYN%","include","parkinson"
"%APOMORPHINE%","include","parkinson"
"%AZILECT%","include","parkinson"
"%BIPERIDEN%","include","parkinson"
"%C%DOPA%L%DOPA%","include","parkinson"
"%CARB%ENTACAP%","include","parkinson"
"%CARB%LEV%","include","parkinson"
"%CARBIDOPA%","include","parkinson"
"%CARIDOPA%","include","parkinson"
"%COMTAN%","include","parkinson"
"%DOPAR%","include","parkinson"
"%ELDEPRYL%","include","parkinson"
"%EMSAM%","include","parkinson"
"%ENTACAPAONE%","include","parkinson"
"%ENTACAPONE%","include","parkinson"
"%ENTACOPAONE%","include","parkinson"
"%ISOCARBOXAZID%","include","parkinson"
"%LARDOPA%","include","parkinson"
"%LEVODOPA%","include","parkinson"
"%MIRAPEX%","include","parkinson"
"%PARCOPA%","include","parkinson"
"%PERGOLIDE%","include","parkinson"
"%PERMAX%","include","parkinson"
"%PHENELZINE%","include","parkinson"
"%PRAMIPEXOL%","include","parkinson"
"%RASAGILINE%","include","parkinson"
"%REQUIP%","include","parkinson"
"%ROPINIROLE%","include","parkinson"
"%ROPINROLE%","include","parkinson"
"%ROTIGOTINE%","include","parkinson"
"%SAFINAMIDE%","include","parkinson"
"%SELEGELINE%","include","parkinson"
"%SELEGILINE%","include","parkinson"
"%SELEGLINE%","include","parkinson"
"%SINEMET%","include","parkinson"
"%STALEVO%","include","parkinson"
"%TOLCAPONE%","include","parkinson"
"%TRANYLCYPROMINE%","include","parkinson"
"%TRIHEXYPHENIDYL%","include","parkinson"
"%ZELAPAR%","include","parkinson"
"%CARBAMAZE%","exclude","parkinson"
"NOT","exclude","parkinson"
"%AMANTADINE%","comment","parkinson"
"%PROCYCLIDINE%","comment","parkinson"
"COMMENT","comment","parkinson"
"%pioglit%","include","pioglitazone"
"actos%","include","pioglitazone"
"%ABCIXIMA[BR]%","include","platelet_inhibitors"
"%AGGRENOX%","include","platelet_inhibitors"
"%ANTIHEMOPHILIC FACTOR","include","platelet_inhibitors"
"%BRILINTA%","include","platelet_inhibitors"
"%CANGRELOR%","include","platelet_inhibitors"
"%CLOPID%","include","platelet_inhibitors"
"%DIPYRDAMOLE%","include","platelet_inhibitors"
"%DIPYRID%","include","platelet_inhibitors"
"%EFFIENT%","include","platelet_inhibitors"
"%FACTOR [[]VII%","include","platelet_inhibitors"
"%FACTOR IX%","include","platelet_inhibitors"
"%FACTOR VII%","include","platelet_inhibitors"
"%NOVOSEVEN%","include","platelet_inhibitors"
"%PERSANTIN%","include","platelet_inhibitors"
"%PLAVIX%","include","platelet_inhibitors"
"%PR[AE]SUGRE%","include","platelet_inhibitors"
"%REO-PRO%","include","platelet_inhibitors"
"%TICAGRELOR%","include","platelet_inhibitors"
"%TICLOPIDINE%","include","platelet_inhibitors"
"%avandaryl%","include","rosiglitazone"
"%avandia%","include","rosiglitazone"
"%rosiglit%","include","rosiglitazone"
"%canaglifl%","include","sglt2_canagliflozin"
"%canaglifozin%","include","sglt2_canagliflozin"
"%cangliflozin%","include","sglt2_canagliflozin"
"%dapagliflozin%","include","sglt2_dapagliflozin"
"%dapaglifozin%","include","sglt2_dapagliflozin"
"%empagliflozin%","include","sglt2_empagliflozin"
"%empaglifozin%","include","sglt2_empagliflozin"
"%ertugliflozin%","include","sglt2_ertugliflozin"
"%NICCOTINE%","include","smoking"
"%NICODERM%","include","smoking"
"%NICORETTE%","include","smoking"
"%NICOTIN %","include","smoking"
"%NICOTINE%","include","smoking"
"%VARENICLINE%","include","smoking"
"%VARENICLN%","include","smoking"
"%NICOTROL%","comment","smoking"
"COMMENT","comment","smoking"
"%acet[ao]hexamide%","include","sul_gen1"
"%chlkorpropamide%","include","sul_gen1"
"%chlor-propamide%","include","sul_gen1"
"%chloropropamide%","include","sul_gen1"
"%chlorpropamide%","include","sul_gen1"
"%chpropamide%","include","sul_gen1"
"%diab[ei]nese%","include","sul_gen1"
"%dymelor%","include","sul_gen1"
"%orinase%","include","sul_gen1"
"%tolazamide%","include","sul_gen1"
"%tolbutamide%","include","sul_gen1"
"%tolinase%","include","sul_gen1"
"%tolzamide%","include","sul_gen1"
"%/CHLORTH%","include","thiazide_k_diuretics"
"%ALDACTAZIDE%","include","thiazide_k_diuretics"
"%ALDACTONE%","include","thiazide_k_diuretics"
"%AMILIORIDE%","include","thiazide_k_diuretics"
"%AMILORIDE%","include","thiazide_k_diuretics"
"%ANHYDRON%","include","thiazide_k_diuretics"
"%AQUATENS[EI]N%","include","thiazide_k_diuretics"
"%ATENOLOL%/CHLOR%","include","thiazide_k_diuretics"
"%AZILSAR%/CHLO%","include","thiazide_k_diuretics"
"%BENDROFLUMETHAZIDE%","include","thiazide_k_diuretics"
"%BENDROFLUMETHIAZIDE%","include","thiazide_k_diuretics"
"%BENZTHIAZIDE%","include","thiazide_k_diuretics"
"%CHLOROTHIAZIDE%","include","thiazide_k_diuretics"
"%CHLORTHAL%","include","thiazide_k_diuretics"
"%COMBIPRES%","include","thiazide_k_diuretics"
"%CYCLOTHIAZIDE%","include","thiazide_k_diuretics"
"%DEMI-REGRO%","include","thiazide_k_diuretics"
"%DIUCARDIN%","include","thiazide_k_diuretics"
"%DIULO%","include","thiazide_k_diuretics"
"%DIUPRES%","include","thiazide_k_diuretics"
"%DIURIL%","include","thiazide_k_diuretics"
"%DYAZIDE%","include","thiazide_k_diuretics"
"%DYRENIUM%","include","thiazide_k_diuretics"
"%EDARBYCLOR%","include","thiazide_k_diuretics"
"%ENDUDRON%","include","thiazide_k_diuretics"
"%ENDURON%","include","thiazide_k_diuretics"
"%EPLERENONE%","include","thiazide_k_diuretics"
"%ESIDREX%","include","thiazide_k_diuretics"
"%ESIDRIX%","include","thiazide_k_diuretics"
"%ESIMIL%","include","thiazide_k_diuretics"
"%EXNA %","include","thiazide_k_diuretics"
"%EXNA-%","include","thiazide_k_diuretics"
"%FLUIDIL%","include","thiazide_k_diuretics"
"%HCTZ %","include","thiazide_k_diuretics"
"%HCTZ-%","include","thiazide_k_diuretics"
"%HCTZ(%","include","thiazide_k_diuretics"
"%HCTZ/%","include","thiazide_k_diuretics"
"%HCTZ12%","include","thiazide_k_diuretics"
"%HCTZ6%","include","thiazide_k_diuretics"
"%HYDRO-MOX%","include","thiazide_k_diuretics"
"%HYDROCHL %","include","thiazide_k_diuretics"
"%HYDROCHL/%","include","thiazide_k_diuretics"
"%HYDROCHLOR %","include","thiazide_k_diuretics"
"%HYDROCHLORH%","include","thiazide_k_diuretics"
"%HYDROCHLORO%","include","thiazide_k_diuretics"
"%HYDROCHLOROTHIAZIDE%","include","thiazide_k_diuretics"
"%HYDROCHLORT%","include","thiazide_k_diuretics"
"%HYDROCHLTHIAZ%","include","thiazide_k_diuretics"
"%HYDROFLUMETH%","include","thiazide_k_diuretics"
"%HYDROMOX%","include","thiazide_k_diuretics"
"%HYGROTON%","include","thiazide_k_diuretics"
"%INDAPAMIDE%","include","thiazide_k_diuretics"
"%INSPRA%","include","thiazide_k_diuretics"
"%LOZOL%","include","thiazide_k_diuretics"
"%MAXZID%","include","thiazide_k_diuretics"
"%METAHYDRIN%","include","thiazide_k_diuretics"
"%METHYCHLOTHIAZIDE%","include","thiazide_k_diuretics"
"%METHYCLOTHIAZIDE%","include","thiazide_k_diuretics"
"%METHYLCLOTHIAZIDE%","include","thiazide_k_diuretics"
"%METOLAZONE%","include","thiazide_k_diuretics"
"%MICARDIS HCT%","include","thiazide_k_diuretics"
"%MICROZIDE%","include","thiazide_k_diuretics"
"%MODURECTIC%","include","thiazide_k_diuretics"
"%MODURETIC%","include","thiazide_k_diuretics"
"%NAQUA%","include","thiazide_k_diuretics"
"%NATURETIN%","include","thiazide_k_diuretics"
"%POLYTHIAZIDE%","include","thiazide_k_diuretics"
"%QUINETHAZONE%","include","thiazide_k_diuretics"
"%RENESE%","include","thiazide_k_diuretics"
"%SALURON%","include","thiazide_k_diuretics"
"%SPIRONOLACTIONE%","include","thiazide_k_diuretics"
"%SPIRONOLACTONE%","include","thiazide_k_diuretics"
"%SPIRONOLATONE%","include","thiazide_k_diuretics"
"%TENORETIC%","include","thiazide_k_diuretics"
"%TRIAMTERENE%","include","thiazide_k_diuretics"
"%TRICHLORMETH%","include","thiazide_k_diuretics"
"%ZAROXOLYN%","include","thiazide_k_diuretics"
"%ZAROXYLYN%","include","thiazide_k_diuretics"
"%ZESTORETIC%","include","thiazide_k_diuretics"
"%DIHYDRO%","exclude","thiazide_k_diuretics"
"NOT","exclude","thiazide_k_diuretics"
"%roglitazone%","include","troglitazone"
"%troglitazone%","include","troglitazone"
